Number1,Number2,Number3,Total Sum
971.8443765140894,1760.131196051757,1689.1812178142254,4421.1567903800715
,,,0
,,,0
512.0317617025858,1101.7135630790024,778.3931770942124,2392.1385018758006
,,,0
,,,
49.22209659692498,968.5837496813527,571.4943951360182,1589.300241414296
869.1721196703303,1600.6427071814398,1555.766541352526,4025.5813682042963
619.1194256216493,864.3071782262094,1508.7008649145505,2992.127468762409
648.5234192114847,896.8295037207229,1382.7468283898045,2928.099751322012
60.49099146212555,103.83950255211838,858.6590198670884,1022.9895138813324
929.8603361564884,1846.2068698161227,1303.9026170882973,
749.258606305129,1602.563025675875,1586.5606421475732,3938.382274128577
644.2209227656889,,1290.0519442224436,1934.2728669881326
,,,0
788.4974930897909,,1358.4614514731402,
740.8651757932025,1452.8168145847378,823.157854345218,3016.8398447231584
11.104388528397262,286.3910591844871,229.03199877293918,526.5274464858236
236.99970975653682,,1170.393880095144,
,,,
984.2872203445213,1519.7035159658058,1102.8896863462314,3606.8804226565585
534.8299068329046,,818.7679120380017,1353.5978188709064
530.9488833287152,827.625574278295,1079.4840021192363,2438.0584597262464
386.2020826297664,,686.6224987204625,1072.824581350229
798.8296250493593,912.6097772957661,1001.4330867402592,2712.8724890853846
,,,0
584.1196611105784,1048.341588398047,1218.10131015916,2850.5625596677855
64.17002435683719,543.2292851894744,255.19586559971845,862.59517514603
310.3761430517405,1233.131083095957,,1543.5072261476973
797.0664722876496,1356.4670347198794,822.2327590356355,2975.7662660431643
210.2162682560468,285.63464734499723,218.17780495056965,714.0287205516137
682.4021959889112,1148.6077252442503,826.0029357107522,2657.012856943914
402.366992290874,444.23159157855855,,846.5985838694326
948.5791384553186,1259.08296006008,,2207.6620985153986
874.1024469323427,1119.0123690998757,1293.051141067051,3286.1659570992697
434.26946489208325,,1328.9170135739334,1763.1864784660168
503.44670087453164,1454.7959837846724,1344.943679925842,
,,,0
845.0262681214855,,1582.9948974259278,2428.021165547413
500.45813327906455,837.6108051173826,745.251314361876,2083.320252758323
628.976225307715,,1609.7878368795923,2238.7640621873074
730.7344433476391,1632.4111221522635,970.267234545503,3333.4128000454057
833.4451568528102,1130.6755185967668,1624.4269882434844,3588.5476636930616
696.1293473903048,1559.390831136051,1229.2009435295392,3484.721122055895
429.91465422232136,591.9070685556115,1118.7377797504,2140.559502528333
802.9096840844225,,1531.8107301310797,2334.7204142155024
197.73154156335139,318.8878395343993,226.52100401536626,743.140385113117
,,,0
349.5776695439828,482.63592564458554,482.9701972816945,
43.94416369027182,453.2251754435039,896.6743787679565,1393.8437179017321
,,,0
436.4970805432727,701.6865459506769,1223.2526842752532,2361.436310769203
524.0770612370937,1212.677648773956,943.4096649842636,2680.164374995313
,,,0
380.3681906607994,441.5027301420519,434.32680383633414,1256.1977246391855
338.5142203203347,760.497548611911,1301.2896636173052,
464.4142248698174,961.8202431295364,957.1035527117792,2383.338020711133
672.287200327156,1037.7297125959699,1334.2733546273355,3044.2902675504615
221.61293984867766,376.77377868034176,1164.6303419808241,1763.0170605098435
669.6887066314999,1379.5322569283198,1226.5874424775045,3275.8084060373244
,,,0
72.44935765116554,,106.62149901370753,179.07085666487308
201.45886572733232,720.0170912465244,1033.2729650438505,1954.7489220177072
359.09316217971445,725.0271255181099,608.2163306444011,1692.3366183422254
,,,0
961.1978872326162,1738.7519124399541,1216.7856559501497,3916.73545562272
141.39378066802516,790.0092900409313,1041.3527721117498,1972.7558428207062
623.57309304068,1434.9097947955659,1234.9008579316812,3293.383745767927
353.2168772318063,834.3352285542201,823.4159115163598,2010.9680173023862
283.87863024871524,654.1001731402905,1265.1963629713855,2203.1751663603914
941.9645226813353,,1937.41063505391,2879.3751577352455
308.1403898920186,817.5519604221322,,1125.6923503141509
325.35966748813104,415.44091618892475,919.3018444015156,
778.7994877078386,1116.8021563874581,817.678810309573,2713.2804544048695
793.0699199124197,1735.5585321240394,1578.6811825126965,4107.309634549156
72.1269970404975,522.65812124079,1036.4250510784332,1631.2101693597208
